iso_code,country,2024_last_updated,2023_population,area_sq_km,land_area_sq_km,density_/sq_km,growth_rate,world_%,rank,un_member
IND,India,"1,438,290,379","1,428,627,663",3.3M,3M,485,0.92%,18.01%,1,IND
CHN,China,"1,425,344,670","1,425,671,352",9.7M,9.4M,151,-0.03%,17.8%,2,CHN
USA,United States,"341,338,429","339,996,563",9.4M,9.1M,37,0.53%,4.27%,3,USA
IDN,Indonesia,"279,208,687","277,534,122",1.9M,1.9M,149,0.82%,3.5%,4,IDN
PAK,Pakistan,"243,960,233","240,485,658",881.9K,770.9K,318,1.96%,3.06%,5,PAK
NGA,Nigeria,"227,727,577","223,804,632",923.8K,910.8K,252,2.39%,2.86%,6,NGA
BRA,Brazil,"217,323,026","216,422,446",8.5M,8.4M,26,0.56%,2.72%,7,BRA
BGD,Bangladesh,"174,242,725","172,954,319",147.6K,130.2K,"1,342",1.01%,2.18%,8,BGD
RUS,Russia,"144,082,954","144,444,359",17.1M,16.4M,9,-0.34%,1.8%,9,RUS
ETH,Ethiopia,"128,872,771","126,527,060",1.1M,1.1M,115,2.52%,1.62%,10,ETH
MEX,Mexico,"129,145,053","128,455,567",2M,1.9M,67,0.73%,1.62%,11,MEX
JPN,Japan,"122,807,324","123,294,513",377.9K,364.5K,336,-0.54%,1.53%,12,JPN
PHL,Philippines,"118,639,402","117,337,368",342.4K,298.2K,399,1.51%,1.49%,13,PHL
EGY,Egypt,"114,009,928","112,716,598",1M,1M,115,1.57%,1.43%,14,EGY
VNM,Vietnam,"99,333,459","98,858,950",331.2K,313.4K,317,0.65%,1.24%,16,VNM
IRN,Iran,"89,646,393","89,172,767",1.6M,1.6M,55,0.71%,1.12%,17,IRN
TUR,Turkey,"86,144,545","85,816,199",783.6K,783.6K,110,0.52%,1.08%,18,TUR
DEU,Germany,"83,264,978","83,294,633",357.1K,349.4K,238,-0.05%,1.04%,19,DEU
THA,Thailand,"71,866,626","71,801,279",513.1K,510.9K,141,0.12%,0.9%,20,THA
TZA,Tanzania,"68,891,398","67,438,106",945.1K,885.8K,78,2.94%,0.87%,21,TZA
GBR,United Kingdom,"67,902,253","67,736,802",242.9K,241.9K,281,0.33%,0.85%,22,GBR
FRA,France,"64,849,319","64,756,584",551.7K,547.6K,118,0.19%,0.81%,23,FRA
ZAF,South Africa,"60,844,329","60,414,495",1.2M,1.2M,50,1%,0.76%,24,ZAF
ITA,Italy,"58,744,426","58,870,762",301.3K,295.7K,198,-0.29%,0.73%,25,ITA
KEN,Kenya,"55,908,766","55,100,586",580.4K,569.1K,99,2%,0.7%,26,KEN
MMR,Myanmar,"54,864,661","54,577,997",676.6K,652.7K,84,0.71%,0.69%,27,MMR
COL,Colombia,"52,272,418","52,085,168",1.1M,1.1M,47,0.49%,0.65%,28,COL
KOR,South Korea,"51,754,467","51,784,059",100.2K,97.6K,530,-0.08%,0.65%,29,KOR
UGA,Uganda,"49,567,467","48,582,334",241.6K,200.5K,249,2.76%,0.62%,30,UGA
SDN,Sudan,"49,027,285","48,109,006",1.9M,1.9M,26,2.6%,0.62%,31,SDN
ESP,Spain,"47,486,711","47,519,628",506K,499.6K,95,-0.1%,0.59%,32,ESP
IRQ,Iraq,"46,253,567","45,504,560",438.3K,434.1K,107,2.24%,0.58%,33,IRQ
DZA,Algeria,"46,105,360","45,606,480",2.4M,2.4M,19,1.47%,0.58%,34,DZA
ARG,Argentina,"45,983,675","45,773,884",2.8M,2.7M,17,0.62%,0.58%,35,ARG
AFG,Afghanistan,"43,072,017","42,239,854",652.2K,652.2K,66,2.68%,0.54%,36,AFG
POL,Poland,"40,408,455","41,026,067",312.7K,306.1K,131,-1.96%,0.5%,37,POL
CAN,Canada,"39,021,184","38,781,291",10M,9M,4,0.84%,0.49%,38,CAN
